denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CASVP PARIS 10EME SECTION,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,23,,RUE,BICHAT,75010,PARIS 10,,75110,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CASVP PARIS 11EME SECTION,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,130,,AV,LEDRU ROLLIN,75011,PARIS 11,,75111,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,EHPAD ANSELME PAYEN,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement social pour personnes âgées,Hébergement social pour personnes âgées ou handicapées physiques,Hébergement social pour personnes âgées ou handicapées physiques,Hébergement médico-social et social,Santé humaine et action sociale,,9,,PL,VIOLET,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,EHPAD HEROLD,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement social pour personnes âgées,Hébergement social pour personnes âgées ou handicapées physiques,Hébergement social pour personnes âgées ou handicapées physiques,Hébergement médico-social et social,Santé humaine et action sociale,60 A 78,60,,RUE,DU GENERAL BRUNET,75019,PARIS 19,,75119,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,EHPAD ANNIE GIRARDOT,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,ZAC GARE RUNGIS - NOUVELLE VOIE R1,0,,RUE,BRILLAT SAVARIN,75013,PARIS 13,,75113,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,EHPAD HUGUETTE VALSECCHI,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,14,,RUE,MARIE SKOBTSOV,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
CAISSE DES ECOLES DU 10E ARRONDISSEMENT,,,,,,,CDE,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,72,,RUE,DU FAUBOURG SAINT MARTIN,75010,PARIS 10,,75110,75475,PARIS CEDEX 10,,0,,,,0,,,0,,
CAISSE ECOLES 16 EME ARRON PARIS,,,,,,,CDE,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,71,,AV,HENRI MARTIN,75116,PARIS 16,,75116,0,,,0,,,,0,,,0,,
EHPAD-MR DE SAINT SEVERIN,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,34,,RUE,VILLE FORTE,77570,CHATEAU-LANDON,,77099,0,,,0,,,,0,,,0,,
EHPAD LA CHOCOLATIERE,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,0,,,GDE ALLEE IMPRESSIONNISTES,77186,NOISIEL,,77337,0,,,0,,,,0,,,0,,
EHPAD SAINT AILE,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,0,,RTE,DE SAINT AILE,77510,REBAIS,,77385,0,,,0,,,,0,,,0,,
CENTRE DE GERONTOLOGIE,,,,,,,EHPAD LES AULNETTES,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,31,,RUE,JOSEPH BERTRAND,78220,VIROFLAY,,78686,0,,,0,,,,0,,,0,,
CENTRE COMMUNAL D'ACTION SOCIALE,CCAS,,,,,CCAS,,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,MAIRIE,0,,PL,DU GENERAL DE GAULLE,78160,MARLY-LE-ROI,,78372,0,,,0,,,,0,,,0,,
HOPITAL GERONTOLOGIQUE DE CHEVREUSE,,,,,,,,,,100 à 199 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,1,,RUE,JEAN MERMOZ,78460,CHEVREUSE,BP 34,78160,0,,,0,,,,0,,,0,,
EHPAD DE HAUTEFEUILLE,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,45,,RUE,DES NOBLETS,91770,SAINT-VRAIN,,91579,0,,,0,,,,0,,,0,,
CAISSE DES ECOLES D ATHIS MONS,,,,,,,CDE,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,0,,PL,DU GENERAL DE GAULLE,91200,ATHIS-MONS,,91027,0,,,0,,,,0,,,0,,
CAISSE DES ECOLES DE VIRY CHATILLON,,,,,,,CDE,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,0,,PL,REPUBLIQUE,91170,VIRY-CHATILLON,BP 43,91687,0,,,0,,,,0,,,0,,
EHPAD LE MANOIR,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,7,,RUE,ARISTIDE BRIAND,91230,MONTGERON,,91421,0,,,0,,,,0,,,0,,
EHPAD FILE ETOUPE,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,1,,SQ,THIBAULT FILE ETOUPE,91310,MONTLHERY,,91425,0,,,0,,,,0,,,0,,
EHPAD MAISON DE RETRAITE,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,20,,RUE,DES GRAVIERS,92200,NEUILLY-SUR-SEINE,,92051,0,,,0,,,,0,,,0,,
EHPAD LES MARRONNIERS,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,36,,RUE,PAUL VAILLANT COUTURIER,92300,LEVALLOIS-PERRET,,92044,0,,,0,,,,0,,,0,,
MAISON DE RETRAITE DU PARC,,,,,,,EHPAD RESIDENCE LE PARC,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,1,,RUE,SCARRON,92260,FONTENAY-AUX-ROSES,,92032,0,,,0,,,,0,,,0,,
CAISSE DES ECOLES DE SAINT CLOUD,,,,,,,CDE,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,MAIRIE DE SAINT CLOUD,13,,PL,CHARLES DE GAULLE,92210,SAINT-CLOUD,,92064,0,,,0,,,,0,,,0,,
INSTITUT DEPARTEMENT G BAGUER,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour enfants handicapés,Hébergement médicalisé pour enfants handicapés,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour enfants handicapés,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,35,,RUE,DE NANTERRE,92600,ASNIERES-SUR-SEINE,,92004,0,,,0,,,,0,,,0,,
MAISON DE RETRAITE DE SURESNES,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,25,,RTE,FUSILLES RESISTANCE,92150,SURESNES,,92073,0,,,0,,,,0,,,0,,
EHPAD RESIDENCE MADELEINE VERDIER,,,,,,,,,,100 à 199 salariés,Hébergement social pour personnes âgées,Hébergement social pour personnes âgées,Hébergement social pour personnes âgées ou handicapées physiques,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement social pour personnes âgées,Hébergement social pour personnes âgées ou handicapées physiques,Hébergement social pour personnes âgées ou handicapées physiques,Hébergement médico-social et social,Santé humaine et action sociale,,5,,ALL,DE LA VALLIERE,92120,MONTROUGE,,92049,0,,,0,,,,0,,,0,,
EHPAD LASSERRE,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,4,,RUE,SEVERINE,92130,ISSY-LES-MOULINEAUX,,92040,0,,,0,,,,0,,,0,,
CTRE COM ACTION SOCIALE DE ST DENIS,,,,,,,CCAS,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,2,,PL,VICTOR HUGO,93200,SAINT-DENIS,,93066,0,,,0,,,,0,,,0,,
CAISSE DES ECOLES,CDE,,,,,CDE,,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,MAIRIE   (84 - 88),84,,AV,DU GENERAL LECLERC,93500,PANTIN,,93055,93507,PANTIN CEDEX,,0,,,,0,,,0,,
EHPAD CONSTANCE MAZIER,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,4,,RUE,HEMET,93300,AUBERVILLIERS,,93001,0,,,0,,,,0,,,0,,
