AdresseEtablissementPrive,NomEtablissementPrive
28 RUE DU TIR 77500 CHELLES,"['Lycee Guy Gasnier Sainte Bathilde', 'College Guy Gasnier - Sainte-Bathilde', 'College Prive Catholique Gasnier-Guy - Sainte-Bathilde']"
29 AVENUE LEON BOLLEE 75013 PARIS 13,"['E.P.PR YABNE-HENRI SCHILLI 29 avenue Leon Bollee', 'Lycee prive Yabne']"
29 RUE CHAMBERLIN 91600 SAVIGNY-SUR-ORGE,"['Ecole primaire privee Le Sacre-Coeur', 'College du Sacre-Coeur', 'College Prive du Sacre-Coeur - Institut Saint-Louis Saint-Clement', 'Ecole Privee du Sacre-Coeur - Institut Saint Louis & Saint Clement']"
29 RUE GASSENDI 75014 PARIS 14,"['E.P.PR LE SACRE-COEUR 29 rue Gassendi', 'Section de Technicien Superieur Ensemble Scolaire Sainte Catherine Laboure', 'Lycee Professionnel Prive Ensemble Scolaire Sainte Catherine Laboure', 'Lycee General et Technologique Prive Ensemble Scolaire Sainte Catherine Laboure', 'College Prive Ensemble Scolaire Sainte Catherine Laboure', 'Ecole du Sacre-Coeur Ensemble Scolaire Sainte Catherine Laboure']"
29 RUE TRUFFAUT 75017 PARIS 17,"['E.M.PR LES PETITS DRAGONS 29 rue Truffaut', 'Ecole Les Petites Dragons']"
29 RUE DE NOISY 78870 BAILLY,"['Ecole elementaire privee International Montessori Athena', 'Ecole 2D degre general privee International Montessori Athena', 'Ecole secondaire privee International Montessori Athena', 'Lycee International Montessori Ecole Athena']"
29 RUE DES PATIS 95520 OSNY,"['Ecole secondaire privee du Petit Prince', 'College du Petit Prince']"
3 AVENUE PAUL LANGEVIN 95220 HERBLAY-SUR-SEINE,"['Ecole elementaire privee Leonard de Vinci', 'Ecole secondaire privee Leonard de Vinci', 'Ecole Leonard de Vinci']"
3 AVENUE DE VALVINS 77920 SAMOIS-SUR-SEINE,"['College prive Sacre Coeur Enfant Jesus', 'Ecole elementaire privee de Sacre Coeur Enfant Jesus', 'ESCEJ - Etablissement Sacre-Coeur - Enfant Jesus']"
3 AVENUE DU MARECHAL FOCH 91400 ORSAY,"['Ecole primaire privee Sainte Suzanne', 'Ecole Privee Sainte-Suzanne']"
3 BIS CHEMIN DE LA MESSE 77140 SAINT-PIERRE-LES-NEMOURS,"['College Sainte-Marie - La Roche aux Coqs', 'College Prive Sainte-Marie', 'Lycee Prive La Salle - Sainte Marie']"
3 BOULEVARD DE STALINGRAD 94320 THIAIS,"[""Lycee professionnel Poullart des Places (Fondation apprentis d'Auteuil)"", ""Apprentis d'Auteuil - Lycee Professionnel et UFA Apprentissage Poullart des Places""]"
3 BOULEVARD DU NORD 93340 LE RAINCY,"['Lycee professionnel prive Jeanne la Lorraine', 'College Sainte Louis de Marillac', 'UFA Sainte Louise de Marillac', 'Lycee Professionnel Jeanne la Lorraine']"
3 RUE DES BOURDONNAIS 78000 VERSAILLES,"['College Sacre-Coeur', 'College Prive du Sacre-Coeur']"
3 RUE DES PRAIRIES 75020 PARIS 20,"['E.E.PR SAINT-GERMAIN DE CHARONNE 3 rue des Prairies', 'Saint-Germain de Charonne-La Salle, College Prive']"
30 AVENUE DU ROULE 92200 NEUILLY-SUR-SEINE,"['College Notre-Dame de Sainte-Croix', 'Lycee Notre-Dame de Sainte-Croix', 'Lycee Notre Dame Sainte-Croix', 'Lycee Notre Dame de Sainte-Croix']"
31 RUE ALFRED LEBLANC 91220 BRETIGNY-SUR-ORGE,"[""Ecole primaire privee Jeanne d'Arc"", ""Lycee Jeanne d'Arc"", ""College Jeanne d'Arc"", ""Ecole Privee Jeanne-d'Arc"", ""College Prive Jeanne-d'Arc""]"
31 RUE CAULAINCOURT 75018 PARIS 18,"['E.P.PR SAINT-JEAN DE MONTMARTRE 31 rue Caulaincourt', 'Lycee Professionnel et Technologique Prive Saint-Jean de Montmartre', 'Lycee General et Technologique Prive Saint- Jean de Montmartre', 'Ecole Privee Saint-Jean-de-Montmartre', 'UFA - Saint- Jean de Montmartre']"
31 RUE CLAVEL 75019 PARIS 19,"['E.P.PR ST JEAN-BAPTISTE DE BELLEVILLE 31 rue Clavel', 'Ecole Saint-Jean-Baptiste-de-Belleville']"
32 AVENUE DE CHOISEUL 95400 VILLIERS-LE-BEL,"[""Section d'enseignement professionnel privee du lycee polyvalent ORT"", 'College ORT', 'Lycee polyvalent prive ORT', 'ORT Lycee Polyvalent']"
32 AVENUE DE VALENTON 94190 VILLENEUVE-SAINT-GEORGES,"['Groupe Scolaire Educative', 'Groupe Educactive Ecole Primaire', 'Groupe Educactive Lycee', 'Groupe Scolaire Educactive']"
32 RUE DE VAUREAL 95000 CERGY,"['Ecole secondaire privee International Trilingue de Cergy - CITC', 'Ecole Internationale Trilingue']"
34 BOULEVARD DE LA REINE 78000 VERSAILLES,"['Ecole elementaire privee Notre-Dame', 'Ecole Privee Notre-Dame']"
35 ALLEE ROBERT ESTIENNE 93320 LES PAVILLONS-SOUS-BOIS,"['College Alliance', ""Ecole primaire privee de l'Alliance"", 'Lycee general prive Alliance', ""College Groupe Scolaire de L'Alliance, College"", ""Ecole Groupe Scolaire de L'Alliance, Ecole""]"
35 RUE SAINT BLAISE 75020 PARIS 20,"['Cours Prive Autograf Formations', 'Autograf']"
36 RUE DAUTANCOURT 75017 PARIS 17,"['E.P.PR LE SACRE-COEUR 36 rue Dautancourt', 'Ecole Privee du Sacre-Coeur, Ensemble Batignolles Epinettes']"
36 RUE JACQUES DUCLOS 93600 AULNAY-SOUS-BOIS,"['College prive Protectorat Saint-Joseph', 'Ecole primaire privee Saint Joseph', 'Lycee polyvalent prive Protectorat Saint-Joseph', ""Section d'enseignement professionnel du lycee polyvalent prive protectorat Saint-Joseph"", 'College Protectorat Saint Joseph', 'Ecole Maternelle et Elementaire, Protectorat Saint-Joseph', 'Protectorat Saint-Joseph']"
38 QUAI DE L'ECLUSE 78290 CROISSY-SUR-SEINE,"['Ecole generale et technologique privee British School of Paris', 'The British School of Paris, College', 'British School of Paris, maternelle et primaire', 'British School of Paris, Lycee']"
